date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:42:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:37%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	(from https://www.ushoperra.com/)
07:42:38	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:38%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.ushoperra.com/)
07:42:38	9921/9921	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2023:18:02%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/load_feature-37a17a663bce00c3e1703d247d958d410831e9e5dac457e1e9aa9f37481e2eb5.js	(from https://www.ushoperra.com/)
07:42:39	37632/37632	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2001:45:15%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/shopifycloud/shopify/assets/storefront/features-87e8399988880142f2c62771b9d8f2ff6c290b3ff745dd426eb0dfe0db9d1dae.js	(from https://www.ushoperra.com/)
07:42:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:39%20GMT	http://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/fancybox.min.css?v=183560655789531980821650846340	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/fancybox.min8298.css	(from https://www.ushoperra.com/)
07:42:39	18648/18648	---MCZ	200	added ('OK')	text/css	date:Sat,%2014%20May%202022%2007:42:39%20GMT	https://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/fancybox.min.css?v=183560655789531980821650846340	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/fancybox.min8298.css	(from https://www.ushoperra.com/)
07:42:40	63580/63580	---MCZ	404	error ('Not%20Found')	text/html	etag:cacheable:271a5e9f0f1f1bfe1304b3646deef20a	https://www.ushoperra.com/POST	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/POST	(from https://www.ushoperra.com/)
07:42:40	80395/80395	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2012%20May%202022%2003:38:01%20GMT	https://cdn.shopify.com/s/trekkie.storefront.14a2a604dac04b548cd8c6bdfd85448fc1df7da9.min.js	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/trekkie.storefront.14a2a604dac04b548cd8c6bdfd85448fc1df7da9.min.js	(from https://www.ushoperra.com/)
07:42:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:40%20GMT	http://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	(from https://www.ushoperra.com/)
07:42:41	8110/8110	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2010%20May%202022%2011:50:33%20GMT	https://cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/shopifycloud/shopify/assets/shop_events_listener-fa61fd11817b231631d2fe43dc869d0b1d14a06332792d42f1a1d94bda5aa31e.js	(from https://www.ushoperra.com/)
07:42:42	59352/59352	---MCZ	200	added ('OK')	text/javascript	date:Wed,%2011%20May%202022%2023:28:56%20GMT	https://cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/shopifycloud/boomerang/shopify-boomerang-1.0.0.min.js	(from https://www.ushoperra.com/)
07:42:42	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2014%20May%202022%2007:42:42%20GMT	http://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/fancybox.min.js?v=46868592575642161361650846341	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/fancybox.min4d18.js	(from https://www.ushoperra.com/)
07:42:42	146543/146543	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2013%20May%202022%2005:13:17%20GMT	https://cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/fancybox.min.js?v=46868592575642161361650846341	C:/Users/azureuser/Desktop/www.ushoperra.com/cdn.shopify.com/s/files/1/0563/4257/7242/t/2/assets/fancybox.min4d18.js	(from https://www.ushoperra.com/)
07:42:43	80763/80763	---MCZ	200	added ('OK')	text/html	etag:cacheable:4ca4f101d58d01c3f74d360a984d95f2	https://www.ushoperra.com/collections	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/collections.html	(from https://www.ushoperra.com/)
07:42:44	88200/88200	---MCZ	200	added ('OK')	text/html	etag:cacheable:bcf10fc871f38905a914c8f656354d0c	https://www.ushoperra.com/collections/automotive-essentials	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/collections/automotive-essentials.html	(from https://www.ushoperra.com/)
07:42:44	118273/118273	---MCZ	200	added ('OK')	text/html	etag:cacheable:b5c38c46539ecde08ecfc59c222dc642	https://www.ushoperra.com/collections/baby-kids-toys	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/collections/baby-kids-toys.html	(from https://www.ushoperra.com/)
07:42:45	93996/93996	---MCZ	200	added ('OK')	text/html	etag:cacheable:bd704f8a92476b2edfeee5a400fc001a	https://www.ushoperra.com/collections/beauty-personal-care	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/collections/beauty-personal-care.html	(from https://www.ushoperra.com/)
07:42:45	76310/76310	---MCZ	200	added ('OK')	text/html	etag:cacheable:10cf18d538fcd0002bafebd5f1264f79	https://www.ushoperra.com/collections/garden-essentials	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/collections/garden-essentials.html	(from https://www.ushoperra.com/)
07:42:46	86471/86471	---MCZ	200	added ('OK')	text/html	etag:cacheable:8e8c47a72ebfd79062018d6abae57225	https://www.ushoperra.com/collections/health-fitness	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/collections/health-fitness.html	(from https://www.ushoperra.com/)
07:42:47	84993/84993	---MCZ	200	added ('OK')	text/html	etag:cacheable:96a5f107ea2ad3c05ce17ee208472438	https://www.ushoperra.com/collections/home-essentials	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/collections/home-essentials.html	(from https://www.ushoperra.com/)
07:42:47	83773/83773	---MCZ	200	added ('OK')	text/html	etag:cacheable:1778ccc4243e89e75c6185ee96b3a5cc	https://www.ushoperra.com/collections/kitchen-essentials	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/collections/kitchen-essentials.html	(from https://www.ushoperra.com/)
07:42:48	108351/108351	---MCZ	200	added ('OK')	text/html	etag:cacheable:6a9b2b17447edc0d36176205f65f3859	https://www.ushoperra.com/collections/pet-essentials	C:/Users/azureuser/Desktop/www.ushoperra.com/www.ushoperra.com/collections/pet-essentials.html	(from https://www.ushoperra.com/)
